,filename,variables,clauses,SAT,time_cryptosat,result_random,time_random,branches_random,implications_random,result_two_clause,time_two_clause,branches_two_clause,implications_two_clause,result_max_freq,time_max_freq,branches_max_freq,implications_max_freq,result_DLCS,time_DLCS,branches_DLCS,implications_DLCS,result_VSIDS,time_VSIDS,branches_VSIDS,implications_VSIDS
0,randN100_K3_R4.3_L430_288.cnf,100,429,True,0.000224,SAT,1.53161,393,6715,SAT,1.096525,216,5165,SAT,0.15813,54,937,SAT,0.142269,47,745,SAT,0.121451,61,786
1,randN100_K3_R4.3_L430_214.cnf,100,429,True,0.000517,SAT,80.233963,4113,78163,SAT,0.29565,72,1696,SAT,1.160953,257,5934,SAT,1.315642,264,5810,SAT,0.6214,178,3454
2,randN100_K3_R4.3_L430_158.cnf,100,430,True,0.000427,SAT,157.453975,5786,111540,SAT,0.421295,94,2532,SAT,6.213279,676,20909,SAT,4.357622,556,13845,SAT,3.63084,554,13411
3,randN100_K3_R4.3_L430_185.cnf,100,429,,4e-06,TIMEOUT,600.076154,11487,219926,SAT,0.228402,62,1385,SAT,0.74748,179,4306,SAT,0.423507,104,2592,SAT,1.09211,252,5524
4,randN100_K3_R4.3_L430_253.cnf,100,430,,5e-06,SAT,0.141965,84,864,SAT,0.090292,42,484,SAT,4.762352,595,15414,SAT,1.123925,223,5108,SAT,0.377668,115,2136
5,randN100_K3_R4.3_L430_233.cnf,100,430,,4e-06,SAT,77.109698,3795,75768,SAT,0.03585,24,170,SAT,0.585436,170,3687,SAT,0.038542,32,70,SAT,0.02458,30,90
6,randN100_K3_R4.3_L430_294.cnf,100,430,,5e-06,SAT,12.41908,1409,25799,SAT,0.393156,100,2293,SAT,6.214709,763,20129,SAT,4.085916,508,13783,SAT,2.327972,424,9784
7,randN100_K3_R4.3_L430_110.cnf,100,430,,5e-06,SAT,3.856037,739,13196,SAT,1.690004,282,7553,SAT,1.358738,294,7044,SAT,1.996443,328,7791,SAT,1.15163,263,5636
8,randN100_K3_R4.3_L430_245.cnf,100,430,,4e-06,SAT,1.759491,423,7381,SAT,1.828288,308,8031,SAT,1.745542,331,8293,SAT,0.297626,75,1752,SAT,0.16049,68,1052
9,randN100_K3_R4.3_L430_270.cnf,100,430,,4e-06,SAT,240.297558,7108,138734,SAT,0.301184,85,1881,SAT,0.541403,152,3550,SAT,0.717088,170,3765,SAT,1.439071,297,6573
10,randN100_K3_R4.3_L430_163.cnf,100,430,,4e-06,SAT,2.887135,619,10198,SAT,0.700889,159,3650,SAT,3.38269,535,13245,SAT,0.4859,130,2462,SAT,0.042638,39,196
11,randN100_K3_R4.3_L430_17.cnf,100,430,,4e-06,SAT,2.644479,573,10752,SAT,0.093552,35,532,SAT,1.437943,324,7708,SAT,3.713024,549,13387,SAT,0.618787,177,3475
12,randN100_K3_R4.3_L430_236.cnf,100,430,,5e-06,SAT,440.151177,9718,193777,SAT,1.348431,232,6350,SAT,1.556628,330,8126,SAT,1.932939,322,8238,SAT,1.752026,354,7964
13,randN100_K3_R4.3_L430_172.cnf,100,430,,5e-06,SAT,65.439969,3518,67964,SAT,1.664578,293,6883,SAT,2.749844,470,11625,SAT,1.255989,228,5325,SAT,1.046179,245,5330
14,randN100_K3_R4.3_L430_241.cnf,100,430,,4e-06,SAT,24.757222,2164,41031,SAT,0.046524,33,142,SAT,0.064995,35,448,SAT,0.615749,162,3331,SAT,0.083457,52,575
15,randN100_K3_R4.3_L430_189.cnf,100,430,,4e-06,SAT,20.903991,2009,37071,SAT,1.47112,251,6338,SAT,2.741288,445,11900,SAT,2.983268,469,10222,SAT,0.286861,95,1837
16,randN100_K3_R4.3_L430_208.cnf,100,430,,4e-06,SAT,133.978809,5246,102232,SAT,1.769963,300,7241,SAT,0.306032,93,1939,SAT,6.809166,721,17907,SAT,2.281846,425,9136
17,randN100_K3_R4.3_L430_118.cnf,100,430,,4e-06,SAT,1.611934,418,7192,SAT,0.026243,14,175,SAT,2.58738,453,11571,SAT,0.603323,155,3088,SAT,1.624934,328,7269
18,randN100_K3_R4.3_L430_268.cnf,100,430,,5e-06,SAT,69.456307,3664,72607,SAT,1.335702,242,6248,SAT,3.174676,536,12479,SAT,3.089236,452,10895,SAT,1.760894,352,8044
19,randN100_K3_R4.3_L430_212.cnf,100,430,,4e-06,SAT,43.247691,2900,54213,SAT,1.464764,257,6565,SAT,4.50399,626,15806,SAT,5.751637,664,16795,SAT,1.79159,365,8489
20,randN100_K3_R4.3_L430_137.cnf,100,430,,4e-06,SAT,2.974104,619,11214,SAT,0.146025,43,869,SAT,2.699677,431,11080,SAT,1.151564,211,5392,SAT,0.848907,214,4712
21,randN100_K3_R4.3_L430_26.cnf,100,429,,4e-06,SAT,46.930162,2774,57119,SAT,0.215413,57,1292,SAT,2.528055,470,10922,SAT,0.03592,29,72,SAT,0.040436,32,229
22,randN100_K3_R4.3_L430_11.cnf,100,430,,4e-06,SAT,5.369111,814,16490,SAT,1.905819,301,7900,SAT,2.76439,444,11293,SAT,1.913176,324,7477,SAT,4.044543,575,14870
23,randN100_K3_R4.3_L430_272.cnf,100,430,,5e-06,SAT,208.072799,6546,125578,SAT,0.814974,174,4280,SAT,1.15013,261,6451,SAT,0.963211,207,4965,SAT,0.431652,129,2417
