,filename,variables,clauses,SAT,time_cryptosat,result_two_clause,time_two_clause,branches_two_clause,implications_two_clause,result_max_freq,time_max_freq,branches_max_freq,implications_max_freq,result_DLCS,time_DLCS,branches_DLCS,implications_DLCS,result_VSIDS,time_VSIDS,branches_VSIDS,implications_VSIDS
0,randN125_K3_R4.3_L538_227.cnf,125,538,True,0.004471,SAT,0.434403,88,2296,SAT,35.667099,1688,55862,SAT,6.820872,673,18407,SAT,43.414062,1997,60308
1,randN125_K3_R4.3_L538_137.cnf,125,538,True,0.002527,SAT,1.231064,202,5561,SAT,7.353018,702,22211,SAT,24.854124,1420,41960,SAT,16.198064,1198,33817
2,randN125_K3_R4.3_L538_276.cnf,125,538,True,0.004185,SAT,11.60606,888,27143,SAT,10.821898,910,26697,SAT,55.976719,2315,66860,SAT,18.024193,1318,37946
3,randN125_K3_R4.3_L538_238.cnf,125,538,True,0.001199,SAT,10.012692,807,24673,SAT,10.602037,854,28278,SAT,2.903003,400,10620,SAT,0.158479,64,870
4,randN125_K3_R4.3_L538_234.cnf,125,538,True,0.004211,SAT,1.731006,262,6683,SAT,0.747013,157,4327,SAT,0.082017,39,208,SAT,0.782011,200,3799
5,randN125_K3_R4.3_L538_201.cnf,125,538,True,0.002249,SAT,9.2537,726,23274,SAT,15.146407,1133,33910,SAT,2.141255,310,7802,SAT,6.735765,722,19125
6,randN125_K3_R4.3_L538_171.cnf,125,538,True,0.004485,SAT,14.331246,999,31149,SAT,5.176329,573,17874,SAT,5.046839,556,15424,SAT,0.272109,75,1798
7,randN125_K3_R4.3_L538_151.cnf,125,538,True,0.00098,SAT,0.132326,37,685,SAT,10.670805,911,27271,SAT,6.323534,633,17780,SAT,4.357771,544,14442
8,randN125_K3_R4.3_L538_286.cnf,125,538,True,0.000705,SAT,1.505027,233,6200,SAT,7.165439,757,19529,SAT,0.635551,139,2966,SAT,0.354308,109,2012
9,randN125_K3_R4.3_L538_133.cnf,125,538,True,0.001998,SAT,1.909663,262,7709,SAT,2.474191,377,9804,SAT,0.061553,38,113,SAT,0.049867,50,145
10,randN125_K3_R4.3_L538_177.cnf,125,538,True,0.000865,SAT,0.691522,128,3490,SAT,1.060262,201,5307,SAT,5.595625,581,16130,SAT,3.141647,445,12395
11,randN125_K3_R4.3_L538_202.cnf,125,538,True,0.008394,SAT,0.215194,54,1227,SAT,2.006091,343,9666,SAT,8.946371,777,23305,SAT,1.492098,247,7017
12,randN125_K3_R4.3_L538_255.cnf,125,538,True,0.002675,SAT,3.201767,391,11237,SAT,3.047412,425,11523,SAT,2.910435,370,10819,SAT,3.962868,493,14363
13,randN125_K3_R4.3_L538_159.cnf,125,538,True,0.002669,SAT,6.804349,611,18367,SAT,62.837074,2271,71740,SAT,14.062707,985,29538,SAT,0.792465,192,3829
14,randN125_K3_R4.3_L538_11.cnf,125,538,True,0.003132,SAT,0.993153,161,4478,SAT,1.546096,256,7439,SAT,1.820398,268,7700,SAT,1.223522,250,5914
15,randN125_K3_R4.3_L538_150.cnf,125,538,True,0.001035,SAT,12.395502,918,28066,SAT,1.391256,260,6751,SAT,7.410162,729,19997,SAT,10.579256,1013,26405
16,randN125_K3_R4.3_L538_206.cnf,125,538,True,0.006131,SAT,8.069352,694,21420,SAT,0.802024,173,4445,SAT,20.682121,1352,37510,SAT,28.349973,1749,47124
17,randN125_K3_R4.3_L538_292.cnf,125,538,True,0.006279,SAT,1.680336,242,7118,SAT,34.311185,1805,55569,SAT,13.236694,988,28899,SAT,2.556996,371,9609
18,randN125_K3_R4.3_L538_176.cnf,125,538,True,0.010003,SAT,3.879624,427,13050,SAT,28.943226,1533,48454,SAT,5.50086,587,16143,SAT,3.265424,431,11635
19,randN125_K3_R4.3_L538_129.cnf,125,538,True,0.000478,SAT,11.514075,835,26738,SAT,31.661589,1662,48063,SAT,1.080817,173,4762,SAT,0.346453,99,1939
20,randN125_K3_R4.3_L538_203.cnf,125,538,True,0.000767,SAT,3.203068,385,11062,SAT,44.629748,1976,62000,SAT,1.44545,234,5714,SAT,1.869104,292,8114
21,randN125_K3_R4.3_L538_29.cnf,125,538,True,0.002129,SAT,0.524555,101,2618,SAT,3.539925,502,12742,SAT,1.483836,239,6021,SAT,2.673244,417,9758
22,randN125_K3_R4.3_L538_296.cnf,125,538,True,0.001301,SAT,5.064818,519,15835,SAT,2.92906,413,12270,SAT,1.027392,163,4745,SAT,1.062963,244,5106
23,randN125_K3_R4.3_L538_1.cnf,125,538,True,0.004859,SAT,8.756365,727,23063,SAT,20.99824,1371,40735,SAT,0.436123,105,1962,SAT,0.544034,140,3014
24,randN125_K3_R4.3_L538_291.cnf,125,538,True,0.000821,SAT,0.978745,175,4643,SAT,5.110921,564,17865,SAT,4.03024,469,13057,SAT,10.456557,959,26783
25,randN125_K3_R4.3_L538_294.cnf,125,538,True,0.005772,SAT,1.397355,224,6191,SAT,2.946847,425,11660,SAT,18.011793,1190,35591,SAT,5.533317,656,17484
26,randN125_K3_R4.3_L538_198.cnf,125,538,True,0.008588,SAT,27.875326,1378,43301,SAT,32.23049,1659,53209,SAT,2.56811,333,9559,SAT,3.422684,546,12303
27,randN125_K3_R4.3_L538_111.cnf,125,538,True,0.002406,SAT,2.383863,307,9108,SAT,0.346762,94,2146,SAT,6.308743,632,17398,SAT,6.786974,691,20334
28,randN125_K3_R4.3_L538_172.cnf,125,538,True,0.001075,SAT,0.660077,129,3189,SAT,0.772141,168,4249,SAT,2.861506,429,10070,SAT,0.726799,161,3770
29,randN125_K3_R4.3_L538_261.cnf,125,538,True,0.002589,SAT,0.276966,59,1519,SAT,4.670944,550,17142,SAT,1.250354,201,5320,SAT,1.734748,278,7568
30,randN125_K3_R4.3_L538_285.cnf,125,537,True,0.001477,SAT,6.667019,593,18645,SAT,1.999757,335,8811,SAT,0.15155,53,636,SAT,2.023055,317,8305
31,randN125_K3_R4.3_L538_272.cnf,125,538,True,0.000513,SAT,2.550275,332,9723,SAT,11.585279,895,29645,SAT,0.981907,170,4577,SAT,0.360292,102,1896
32,randN125_K3_R4.3_L538_170.cnf,125,538,True,0.000711,SAT,7.644231,690,20112,SAT,5.414609,586,18043,SAT,1.365718,216,6056,SAT,1.703159,321,7112
33,randN125_K3_R4.3_L538_149.cnf,125,538,True,0.001033,SAT,7.597033,637,21038,SAT,3.334327,444,12795,SAT,7.740014,750,20374,SAT,11.116342,889,27833
34,randN125_K3_R4.3_L538_217.cnf,125,538,True,0.004333,SAT,0.626556,115,2847,SAT,20.991226,1240,39889,SAT,0.219087,62,1160,SAT,0.545738,143,2990
35,randN125_K3_R4.3_L538_168.cnf,125,537,True,0.001376,SAT,0.084841,27,480,SAT,2.280269,354,10224,SAT,15.974919,1118,33943,SAT,0.071936,45,300
36,randN125_K3_R4.3_L538_148.cnf,125,538,True,0.000172,SAT,0.260279,59,1397,SAT,3.535142,462,14090,SAT,0.09938,51,300,SAT,0.037827,34,91
37,randN125_K3_R4.3_L538_225.cnf,125,538,True,0.003167,SAT,1.860464,255,7539,SAT,1.236302,223,6612,SAT,0.455449,106,2186,SAT,0.248686,88,1427
38,randN125_K3_R4.3_L538_128.cnf,125,538,True,0.001003,SAT,0.056238,23,206,SAT,12.541434,1024,30410,SAT,15.729891,1172,31703,SAT,0.840024,185,4479
39,randN125_K3_R4.3_L538_220.cnf,125,538,True,0.001531,SAT,3.318192,395,11791,SAT,2.25319,347,9225,SAT,0.861681,167,3782,SAT,6.489841,737,20287
40,randN125_K3_R4.3_L538_154.cnf,125,538,True,0.000121,SAT,2.356832,303,9021,SAT,1.232238,240,6055,SAT,1.299053,215,5339,SAT,0.082592,42,377
41,randN125_K3_R4.3_L538_197.cnf,125,538,True,0.000538,SAT,2.17121,281,8804,SAT,22.270656,1400,42873,SAT,19.207396,1219,36672,SAT,12.881872,1104,30731
42,randN125_K3_R4.3_L538_136.cnf,125,538,True,0.005196,SAT,1.454004,209,6835,SAT,4.122478,578,14996,SAT,6.17852,628,16853,SAT,0.041027,28,169
43,randN125_K3_R4.3_L538_235.cnf,125,538,True,0.00394,SAT,6.426714,596,18707,SAT,11.75266,884,28966,SAT,1.830225,254,7471,SAT,1.955433,307,8263
44,randN125_K3_R4.3_L538_119.cnf,125,538,True,0.001616,SAT,0.050131,26,216,SAT,2.779091,420,11016,SAT,0.161946,48,749,SAT,0.281209,113,1471
45,randN125_K3_R4.3_L538_204.cnf,125,538,True,0.000681,SAT,2.559326,317,10161,SAT,1.339062,237,6744,SAT,2.028808,320,7755,SAT,0.195101,75,1117
46,randN125_K3_R4.3_L538_28.cnf,125,538,True,0.001379,SAT,1.413429,210,6324,SAT,14.645246,990,32437,SAT,22.491353,1244,39115,SAT,4.462286,529,13943
47,randN125_K3_R4.3_L538_17.cnf,125,538,True,0.000521,SAT,2.400391,313,9227,SAT,4.109443,484,15045,SAT,15.425613,1090,32896,SAT,10.079153,858,25573
