,filename,variables,clauses,SAT,time_cryptosat,result_two_clause,time_two_clause,branches_two_clause,implications_two_clause,result_max_freq,time_max_freq,branches_max_freq,implications_max_freq,result_DLCS,time_DLCS,branches_DLCS,implications_DLCS,result_VSIDS,time_VSIDS,branches_VSIDS,implications_VSIDS
0,randN100_K3_R4.3_L430_126.cnf,100,429,False,0.002056,UNSAT,5.391822,588,15966,UNSAT,6.500177,754,20438,UNSAT,9.839864,967,22631,UNSAT,11.919167,1175,27860
1,randN100_K3_R4.3_L430_190.cnf,100,430,False,0.002681,UNSAT,1.357279,248,6310,UNSAT,4.317325,609,16425,UNSAT,6.208704,713,18128,UNSAT,7.365834,886,21802
2,randN100_K3_R4.3_L430_125.cnf,100,430,False,0.001858,UNSAT,1.342753,229,6388,UNSAT,3.449674,526,14162,UNSAT,3.197861,478,12015,UNSAT,3.673263,565,13112
3,randN100_K3_R4.3_L430_235.cnf,100,430,False,0.002652,UNSAT,4.63971,563,14981,UNSAT,15.9072,1213,34988,UNSAT,8.629504,833,22220,UNSAT,11.276104,1079,27049
4,randN100_K3_R4.3_L430_175.cnf,100,430,False,0.001086,UNSAT,0.782017,159,4250,UNSAT,3.608999,530,13721,UNSAT,2.327869,399,8902,UNSAT,3.934378,645,13777
5,randN100_K3_R4.3_L430_14.cnf,100,430,False,0.003634,UNSAT,3.310901,452,12036,UNSAT,9.690257,1027,25890,UNSAT,10.139514,969,24415,UNSAT,14.882508,1317,32151
6,randN100_K3_R4.3_L430_115.cnf,100,430,False,0.002154,UNSAT,2.588984,369,10496,UNSAT,5.259564,680,17934,UNSAT,7.138403,809,20210,UNSAT,5.394815,772,17593
7,randN100_K3_R4.3_L430_16.cnf,100,430,False,0.002612,UNSAT,1.810039,288,8078,UNSAT,2.732754,444,11797,UNSAT,2.945128,418,10832,UNSAT,3.728564,640,14199
8,randN100_K3_R4.3_L430_240.cnf,100,430,False,0.001704,UNSAT,1.222164,229,6319,UNSAT,3.330359,532,13271,UNSAT,2.028424,348,9082,UNSAT,1.800941,368,8777
9,randN100_K3_R4.3_L430_147.cnf,100,430,False,0.001474,UNSAT,1.013675,194,5143,UNSAT,2.444859,414,11043,UNSAT,3.377268,481,12539,UNSAT,2.634387,454,11553
10,randN100_K3_R4.3_L430_201.cnf,100,430,False,0.001408,UNSAT,2.746567,400,10579,UNSAT,1.758404,326,9193,UNSAT,2.383355,380,9692,UNSAT,2.169366,391,9820
11,randN100_K3_R4.3_L430_220.cnf,100,430,False,0.00352,UNSAT,2.195769,335,9140,UNSAT,7.174608,829,20345,UNSAT,5.905177,682,17040,UNSAT,10.064939,1044,25404
12,randN100_K3_R4.3_L430_117.cnf,100,430,False,0.002285,UNSAT,2.011304,333,8803,UNSAT,3.176218,476,12843,UNSAT,4.352274,570,14284,UNSAT,7.192352,884,20811
13,randN100_K3_R4.3_L430_144.cnf,100,430,False,0.002849,UNSAT,3.909589,490,13358,UNSAT,2.766596,435,12147,UNSAT,4.305991,534,14223,UNSAT,4.715532,640,16621
14,randN100_K3_R4.3_L430_151.cnf,100,430,False,0.001037,UNSAT,1.109833,199,5929,UNSAT,0.604218,144,3977,UNSAT,0.894653,185,4654,UNSAT,0.916455,209,5244
