,filename,variables,clauses,SAT,time_cryptosat,result_random,time_random,branches_random,implications_random,result_two_clause,time_two_clause,branches_two_clause,implications_two_clause,result_max_freq,time_max_freq,branches_max_freq,implications_max_freq,result_DLCS,time_DLCS,branches_DLCS,implications_DLCS,result_VSIDS,time_VSIDS,branches_VSIDS,implications_VSIDS
0,randN50_K3_R4.3_L215_194.cnf,50,215,False,0.000122,UNSAT,0.739075,351,4804,UNSAT,0.032356,19,341,UNSAT,0.035732,26,414,UNSAT,0.056727,36,521,UNSAT,0.05666,41,655
1,randN50_K3_R4.3_L215_284.cnf,50,215,False,0.000301,UNSAT,1.028639,416,5996,UNSAT,0.116863,58,1195,UNSAT,0.180016,100,1748,UNSAT,0.186469,89,1650,UNSAT,0.155465,99,1522
2,randN50_K3_R4.3_L215_16.cnf,50,215,False,0.000186,UNSAT,0.376611,244,2885,UNSAT,0.0766,44,750,UNSAT,0.080599,51,880,UNSAT,0.084132,45,774,UNSAT,0.094648,70,960
3,randN50_K3_R4.3_L215_15.cnf,50,214,False,0.000163,UNSAT,0.428338,237,3062,UNSAT,0.083272,48,882,UNSAT,0.041147,29,549,UNSAT,0.05524,29,650,UNSAT,0.055443,39,667
4,randN50_K3_R4.3_L215_114.cnf,50,214,False,0.000188,UNSAT,0.538924,308,3849,UNSAT,0.085788,47,893,UNSAT,0.088939,64,1051,UNSAT,0.120225,62,1178,UNSAT,0.095511,67,1037
5,randN50_K3_R4.3_L215_239.cnf,50,215,False,0.000257,UNSAT,0.383437,238,2853,UNSAT,0.093946,52,880,UNSAT,0.138405,89,1425,UNSAT,0.129535,71,1100,UNSAT,0.17623,88,1691
6,randN50_K3_R4.3_L215_8.cnf,50,215,False,0.000219,UNSAT,0.504903,281,3582,UNSAT,0.058491,32,622,UNSAT,0.075585,44,929,UNSAT,0.078234,41,801,UNSAT,0.059859,40,759
7,randN50_K3_R4.3_L215_96.cnf,50,215,False,0.000155,UNSAT,0.565749,297,4068,UNSAT,0.076334,43,806,UNSAT,0.083606,48,887,UNSAT,0.086579,50,781,UNSAT,0.078207,59,885
8,randN50_K3_R4.3_L215_206.cnf,50,215,False,0.000181,UNSAT,0.545815,301,3731,UNSAT,0.175122,83,1423,UNSAT,0.107299,67,1143,UNSAT,0.113705,61,955,UNSAT,0.134584,88,1335
9,randN50_K3_R4.3_L215_5.cnf,50,215,False,0.00014,UNSAT,0.459441,247,3333,UNSAT,0.073294,44,722,UNSAT,0.114472,75,1130,UNSAT,0.10115,57,869,UNSAT,0.139071,98,1368
10,randN50_K3_R4.3_L215_240.cnf,50,214,False,0.000133,UNSAT,0.485001,272,3675,UNSAT,0.058307,29,645,UNSAT,0.07679,52,897,UNSAT,0.082641,41,742,UNSAT,0.084167,55,889
11,randN50_K3_R4.3_L215_285.cnf,50,215,False,0.000154,UNSAT,0.235391,174,1966,UNSAT,0.031174,17,343,UNSAT,0.054861,36,634,UNSAT,0.054965,32,573,UNSAT,0.06431,51,788
12,randN50_K3_R4.3_L215_290.cnf,50,215,False,0.000176,UNSAT,0.675302,326,4646,UNSAT,0.078405,43,769,UNSAT,0.079804,60,926,UNSAT,0.106934,70,970,UNSAT,0.094504,60,1030
13,randN50_K3_R4.3_L215_11.cnf,50,215,False,0.000119,UNSAT,0.420254,240,3242,UNSAT,0.046205,25,487,UNSAT,0.044204,29,522,UNSAT,0.070919,42,623,UNSAT,0.046822,33,589
14,randN50_K3_R4.3_L215_155.cnf,50,215,False,0.000173,UNSAT,0.706924,340,4760,UNSAT,0.085376,46,913,UNSAT,0.069423,47,831,UNSAT,0.068908,40,680,UNSAT,0.077906,56,720
15,randN50_K3_R4.3_L215_28.cnf,50,214,False,0.000193,UNSAT,0.525113,255,3615,UNSAT,0.069598,37,687,UNSAT,0.083035,60,872,UNSAT,0.094757,49,835,UNSAT,0.106057,68,1028
16,randN50_K3_R4.3_L215_43.cnf,50,215,False,0.000126,UNSAT,0.375047,219,3015,UNSAT,0.07902,46,797,UNSAT,0.096699,57,1037,UNSAT,0.109149,56,971,UNSAT,0.147361,93,1504
17,randN50_K3_R4.3_L215_196.cnf,50,215,False,0.000161,UNSAT,0.502158,279,3701,UNSAT,0.105812,59,983,UNSAT,0.097013,53,1088,UNSAT,0.107791,55,994,UNSAT,0.120881,76,1314
18,randN50_K3_R4.3_L215_26.cnf,50,215,False,0.000179,UNSAT,0.940015,385,5560,UNSAT,0.108817,58,1062,UNSAT,0.114148,79,1211,UNSAT,0.112028,66,909,UNSAT,0.146835,102,1316
19,randN50_K3_R4.3_L215_234.cnf,50,215,False,0.000204,UNSAT,0.623199,293,4394,UNSAT,0.063057,37,617,UNSAT,0.149843,92,1529,UNSAT,0.174908,86,1519,UNSAT,0.156273,103,1632
20,randN50_K3_R4.3_L215_56.cnf,50,214,False,0.000211,UNSAT,0.49515,253,3718,UNSAT,0.059309,35,573,UNSAT,0.115341,84,1274,UNSAT,0.142401,73,1265,UNSAT,0.129956,86,1392
21,randN50_K3_R4.3_L215_257.cnf,50,215,False,0.00019,UNSAT,0.70178,309,4500,UNSAT,0.049469,28,503,UNSAT,0.078748,51,871,UNSAT,0.080722,52,734,UNSAT,0.09664,68,1082
22,randN50_K3_R4.3_L215_151.cnf,50,215,False,0.000203,UNSAT,0.303531,172,2375,UNSAT,0.076117,40,744,UNSAT,0.092497,64,1096,UNSAT,0.136018,69,1119,UNSAT,0.0896,55,1032
23,randN50_K3_R4.3_L215_278.cnf,50,215,False,0.000217,UNSAT,0.57326,269,3933,UNSAT,0.086288,46,846,UNSAT,0.125122,64,1375,UNSAT,0.090885,45,839,UNSAT,0.132684,78,1370
24,randN50_K3_R4.3_L215_44.cnf,50,215,False,0.000138,UNSAT,0.312968,191,2630,UNSAT,0.03514,19,368,UNSAT,0.087877,51,1066,UNSAT,0.098027,50,986,UNSAT,0.100877,71,1147
25,randN50_K3_R4.3_L215_52.cnf,50,215,False,0.000164,UNSAT,0.259804,159,2220,UNSAT,0.077391,45,772,UNSAT,0.081429,55,931,UNSAT,0.093119,55,897,UNSAT,0.0889,64,973
26,randN50_K3_R4.3_L215_209.cnf,50,215,False,0.00016,UNSAT,0.79072,376,4925,UNSAT,0.114408,61,1011,UNSAT,0.054206,40,667,UNSAT,0.044618,21,479,UNSAT,0.046879,30,572
27,randN50_K3_R4.3_L215_220.cnf,50,215,False,0.000175,UNSAT,0.525402,260,3731,UNSAT,0.061287,32,642,UNSAT,0.147541,90,1600,UNSAT,0.090319,47,874,UNSAT,0.113622,69,1279
28,randN50_K3_R4.3_L215_282.cnf,50,215,False,0.000198,UNSAT,0.489621,258,3633,UNSAT,0.051931,31,557,UNSAT,0.083939,55,934,UNSAT,0.100153,55,769,UNSAT,0.092603,69,941
29,randN50_K3_R4.3_L215_292.cnf,50,215,False,0.000106,UNSAT,0.362228,226,2771,UNSAT,0.079616,45,777,UNSAT,0.062357,42,745,UNSAT,0.072322,40,703,UNSAT,0.094098,68,1053
30,randN50_K3_R4.3_L215_274.cnf,50,215,False,0.000122,UNSAT,0.518759,276,3806,UNSAT,0.125226,63,1153,UNSAT,0.136307,81,1394,UNSAT,0.145512,69,1313,UNSAT,0.125988,86,1215
31,randN50_K3_R4.3_L215_34.cnf,50,214,False,0.00023,UNSAT,0.516831,259,3508,UNSAT,0.07938,42,787,UNSAT,0.078092,42,957,UNSAT,0.073682,36,739,UNSAT,0.068854,47,848
32,randN50_K3_R4.3_L215_22.cnf,50,215,False,0.000246,UNSAT,0.585191,297,4148,UNSAT,0.096839,52,937,UNSAT,0.110477,65,1224,UNSAT,0.11244,66,1052,UNSAT,0.163887,91,1516
33,randN50_K3_R4.3_L215_35.cnf,50,215,False,0.000117,UNSAT,0.796004,356,4823,UNSAT,0.058322,34,532,UNSAT,0.062847,41,741,UNSAT,0.065234,42,587,UNSAT,0.073466,59,767
34,randN50_K3_R4.3_L215_286.cnf,50,214,False,0.000124,UNSAT,0.455378,236,3478,UNSAT,0.057214,33,567,UNSAT,0.052789,31,571,UNSAT,0.076231,44,737,UNSAT,0.055779,36,649
35,randN50_K3_R4.3_L215_156.cnf,50,214,False,0.000173,UNSAT,0.783659,377,5199,UNSAT,0.075276,39,817,UNSAT,0.065325,42,717,UNSAT,0.07016,35,711,UNSAT,0.113442,71,1239
36,randN50_K3_R4.3_L215_248.cnf,50,215,False,0.000187,UNSAT,0.502461,287,3719,UNSAT,0.057076,31,629,UNSAT,0.067866,45,701,UNSAT,0.074739,42,700,UNSAT,0.083526,58,947
37,randN50_K3_R4.3_L215_250.cnf,50,215,False,0.0002,UNSAT,0.267445,181,2302,UNSAT,0.075207,41,755,UNSAT,0.10384,63,1148,UNSAT,0.07976,45,734,UNSAT,0.105342,70,1022
38,randN50_K3_R4.3_L215_181.cnf,50,215,False,0.000133,UNSAT,0.361294,204,2713,UNSAT,0.076924,40,793,UNSAT,0.070093,44,864,UNSAT,0.085495,44,768,UNSAT,0.07993,54,923
39,randN50_K3_R4.3_L215_251.cnf,50,215,False,0.000201,UNSAT,0.548924,271,3870,UNSAT,0.063794,35,578,UNSAT,0.059552,38,626,UNSAT,0.072904,42,732,UNSAT,0.075471,58,834
40,randN50_K3_R4.3_L215_164.cnf,50,215,False,0.000103,UNSAT,0.197228,147,1752,UNSAT,0.079958,42,774,UNSAT,0.098006,65,1102,UNSAT,0.103234,56,964,UNSAT,0.091008,64,1055
41,randN50_K3_R4.3_L215_17.cnf,50,215,False,0.000274,UNSAT,0.443091,249,3237,UNSAT,0.123766,65,1192,UNSAT,0.223354,151,2165,UNSAT,0.182702,101,1552,UNSAT,0.208501,130,1956
42,randN50_K3_R4.3_L215_7.cnf,50,215,False,0.000128,UNSAT,0.60355,302,4094,UNSAT,0.035805,18,382,UNSAT,0.05007,34,592,UNSAT,0.058841,34,513,UNSAT,0.056386,42,651
43,randN50_K3_R4.3_L215_141.cnf,50,215,False,0.000129,UNSAT,0.429795,246,3174,UNSAT,0.039903,21,417,UNSAT,0.102606,67,1245,UNSAT,0.103806,55,1062,UNSAT,0.07319,52,822
44,randN50_K3_R4.3_L215_81.cnf,50,214,False,0.000157,UNSAT,0.723213,355,4573,UNSAT,0.072175,40,750,UNSAT,0.07977,62,918,UNSAT,0.098718,49,942,UNSAT,0.108688,75,1139
